rank,name,platform,platform_full,Console_manufacturer,Generation,Handheld,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,Exclusive
2249,007: The World is not Enough,PS,PlayStation,SONY,5th,N,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,Non-Exclusive
1202,007: The World is not Enough,N64,Nintendo 64,Nintendo,5th,N,2000,Action,Electronic Arts,1.13,0.38,0.02,0.03,1.55,Non-Exclusive
421,007: Tomorrow Never Dies,PS,PlayStation,SONY,5th,N,1999,Shooter,Electronic Arts,1.72,1.33,0,0.16,3.21,Exclusive
11233,1 vs. 100,DS,Nintendo DS,Nintendo,7th,Y,2008,Misc,DSI Games,0.08,0,0,0.01,0.09,Exclusive
16115,1/2 Summer +,PSP,PlayStation Portable,SONY,7th,Y,2013,Adventure,Kaga Create,0,0,0.01,0,0.01,Exclusive
11414,10 Minute Solution,Wii,Nintendo Wii,Nintendo,7th,N,2010,Sports,Activision,0.06,0.01,0,0.01,0.08,Exclusive
3888,100 All-Time Favorites,DS,Nintendo DS,Nintendo,7th,Y,2009,Puzzle,Ubisoft,0.35,0.12,0,0.04,0.51,Exclusive
3008,100 Classic Books,DS,Nintendo DS,Nintendo,7th,Y,2008,Misc,Nintendo,0.13,0.52,0,0.02,0.67,Exclusive
13892,100 Classic Games,DS,Nintendo DS,Nintendo,7th,Y,2011,Misc,Rondomedia,0,0.03,0,0,0.04,Exclusive
14635,1000 Cooking Recipes from ELLE à table,DS,Nintendo DS,Nintendo,7th,Y,2010,Misc,Nintendo,0,0.02,0,0,0.03,Exclusive
5538,1001 Touch Games,DS,Nintendo DS,Nintendo,7th,Y,2011,Action,Avanquest,0.12,0.17,0,0.04,0.33,Exclusive
7712,101-in-1 Explosive Megamix,DS,Nintendo DS,Nintendo,7th,Y,2008,Puzzle,Nordcurrent,0.05,0.13,0,0.02,0.2,Exclusive
7115,101-in-1 Party Megamix Wii,Wii,Nintendo Wii,Nintendo,7th,N,2009,Misc,Nordcurrent,0.19,0.01,0,0.02,0.23,Exclusive
11310,101-in-1 Sports Megamix,DS,Nintendo DS,Nintendo,7th,Y,2010,Sports,Nordcurrent,0.08,0,0,0.01,0.08,Exclusive
14623,101-in-1 Sports Party Megamix,Wii,Nintendo Wii,Nintendo,7th,N,2010,Sports,Nordcurrent,0.02,0,0,0,0.03,Exclusive
839,1080°: TenEighty Snowboarding,N64,Nintendo 64,Nintendo,5th,N,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03,Exclusive
15008,11eyes: CrossOver,X360,Xbox 360,Microsoft,7th,N,2009,Adventure,5pb,0,0,0.02,0,0.02,Non-Exclusive
15555,11eyes: CrossOver,PSP,PlayStation Portable,SONY,7th,Y,2010,Adventure,5pb,0,0,0.02,0,0.02,Non-Exclusive
13692,12Riven: The Psi-Climinal of Integral,PS2,PlayStation 2,SONY,6th,N,2008,Adventure,CyberFront,0,0,0.04,0,0.04,Exclusive
12237,12-Sai. Honto no Kimochi,3DS,Nintendo 3DS,Nintendo,8th,Y,2014,Adventure,Happinet,0,0,0.07,0,0.07,Exclusive
14007,12-Sai. Koisuru Diary,3DS,Nintendo 3DS,Nintendo,8th,Y,2016,Adventure,Happinet,0,0,0.04,0,0.04,Exclusive
4832,18 Wheeler: American Pro Trucker,PS2,PlayStation 2,SONY,6th,N,2001,Racing,Acclaim Entertainment,0.2,0.15,0,0.05,0.4,Non-Exclusive
10077,18 Wheeler: American Pro Trucker,GC,GameCube,Nintendo,6th,N,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11,Non-Exclusive
8896,187: Ride or Die,PS2,PlayStation 2,SONY,6th,N,2005,Racing,Ubisoft,0.07,0.06,0,0.02,0.15,Non-Exclusive
12255,187: Ride or Die,XB,Xbox,Microsoft,6th,N,2005,Racing,Ubisoft,0.05,0.01,0,0,0.06,Non-Exclusive
9833,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Racing,THQ,0.09,0.03,0,0,0.12,Exclusive
1000,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,Game Boy Advance,Nintendo,6th,Y,2007,Action,THQ,1.26,0.47,0,0.03,1.76,Exclusive
1015,2 Games in 1: Disney Princess & The Lion King,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Misc,THQ,1.25,0.46,0,0.03,1.75,Exclusive
5750,2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Action,THQ,0.22,0.08,0,0.01,0.31,Exclusive
946,2 Games in 1: Sonic Advance & ChuChu Rocket!,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Misc,THQ,1.31,0.49,0,0.03,1.83,Exclusive
3294,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Misc,THQ,0.44,0.16,0,0.01,0.61,Exclusive
12403,2 Games in 1: Sonic Pinball Party & Columns Crown,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Misc,Sega,0.04,0.02,0,0,0.06,Exclusive
4313,2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,Exclusive
3772,2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,XB,Xbox,Microsoft,6th,N,2004,Misc,Sega,0.4,0.11,0,0.02,0.53,Exclusive
3407,2002 FIFA World Cup,PS2,PlayStation 2,SONY,6th,N,2002,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,Non-Exclusive
13267,2002 FIFA World Cup,GC,GameCube,Nintendo,6th,N,2002,Sports,Electronic Arts,0.04,0.01,0,0,0.05,Non-Exclusive
7849,2002 FIFA World Cup,XB,Xbox,Microsoft,6th,N,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,Non-Exclusive
1614,2010 FIFA World Cup South Africa,PS3,PlayStation 3,SONY,7th,N,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23,Non-Exclusive
4525,2010 FIFA World Cup South Africa,Wii,Nintendo Wii,Nintendo,7th,N,2010,Sports,Electronic Arts,0.23,0.15,0.01,0.04,0.43,Non-Exclusive
2426,2010 FIFA World Cup South Africa,X360,Xbox 360,Microsoft,7th,N,2010,Sports,Electronic Arts,0.32,0.43,0.02,0.09,0.86,Non-Exclusive
2903,2014 FIFA World Cup Brazil,PS3,PlayStation 3,SONY,7th,N,2014,Sports,Electronic Arts,0.15,0.39,0.01,0.16,0.71,Non-Exclusive
4170,2014 FIFA World Cup Brazil,X360,Xbox 360,Microsoft,7th,N,2014,Sports,Electronic Arts,0.14,0.28,0,0.04,0.47,Non-Exclusive
5861,24: The Game,PS2,PlayStation 2,SONY,6th,N,2006,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.3,Exclusive
4578,25 to Life,PS2,PlayStation 2,SONY,6th,N,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,Non-Exclusive
8431,25 to Life,XB,Xbox,Microsoft,6th,N,2006,Shooter,Eidos Interactive,0.12,0.04,0,0.01,0.17,Non-Exclusive
11057,2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,Game Boy Advance,Nintendo,6th,Y,2005,Platform,Activision,0.06,0.02,0,0,0.09,Exclusive
1384,2Xtreme,PS,PlayStation,SONY,5th,N,1996,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4,Exclusive
11435,"3 in 1: Solitaire, Mahjong & Tangram",DS,Nintendo DS,Nintendo,7th,Y,2010,Misc,Deep Silver,0,0.07,0,0.01,0.08,Exclusive
4712,300: March to Glory,PSP,PlayStation Portable,SONY,7th,Y,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0,0.06,0.41,Exclusive
14219,3D Baseball,PS,PlayStation,SONY,5th,N,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0,0,0.03,Exclusive
3533,3D Dot Game Heroes,PS3,PlayStation 3,SONY,7th,N,2009,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57,Exclusive
12587,3D Lemmings,PS,PlayStation,SONY,5th,N,1995,Puzzle,Psygnosis,0.03,0.02,0,0,0.06,Exclusive
10597,3D Tank Warfare Simulator Panzer Front,PS,PlayStation,SONY,5th,N,1999,Simulation,Avalon Interactive,0.06,0.04,0,0.01,0.1,Exclusive
14779,3DS Classic Collection,3DS,Nintendo 3DS,Nintendo,8th,Y,2016,Misc,Sega,0.02,0,0,0,0.03,Exclusive
7132,3rd Super Robot Wars Z Jigoku Hen,PS3,PlayStation 3,SONY,7th,N,2014,Role-Playing,Namco Bandai Games,0,0,0.23,0,0.23,Exclusive
8848,3rd Super Robot Wars Z: Tengoku-Hen,PS3,PlayStation 3,SONY,7th,N,2015,Action,Namco Bandai Games,0,0,0.15,0,0.15,Exclusive
2307,3Xtreme,PS,PlayStation,SONY,5th,N,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9,Exclusive
9852,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,Nintendo DS,Nintendo,7th,Y,2005,Misc,Atari,0.11,0,0,0.01,0.12,Exclusive
1326,4 Nin uchi Mahjong,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Misc,Nintendo,0,0,1.45,0,1.45,Exclusive
5804,40 Winks,PS,PlayStation,SONY,5th,N,1999,Platform,GT Interactive,0.17,0.12,0,0.02,0.31,Exclusive
9610,428: Fuusa Sareta Shibuya de,Wii,Nintendo Wii,Nintendo,7th,N,2008,Adventure,Sega,0,0,0.13,0,0.13,Non-Exclusive
15145,428: Fuusa Sareta Shibuya de,PS3,PlayStation 3,SONY,7th,N,2009,Adventure,Spike,0,0,0.02,0,0.02,Non-Exclusive
6903,4x4 EVO 2,XB,Xbox,Microsoft,6th,N,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24,Non-Exclusive
9238,4x4 EVO 2,GC,GameCube,Nintendo,6th,N,2002,Racing,Vivendi Games,0.11,0.03,0,0,0.14,Non-Exclusive
5681,4x4 Evolution,PS2,PlayStation 2,SONY,6th,N,2001,Racing,Gathering of Developers,0.16,0.12,0,0.04,0.32,Exclusive
7802,50 Cent: Blood on the Sand,PS3,PlayStation 3,SONY,7th,N,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,Non-Exclusive
7362,50 Cent: Blood on the Sand,X360,Xbox 360,Microsoft,7th,N,2009,Shooter,THQ,0.12,0.07,0,0.02,0.21,Non-Exclusive
981,50 Cent: Bulletproof,PS2,PlayStation 2,SONY,6th,N,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,Non-Exclusive
4438,50 Cent: Bulletproof,XB,Xbox,Microsoft,6th,N,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,Non-Exclusive
3647,50 Classic Games,DS,Nintendo DS,Nintendo,7th,Y,2009,Misc,Destineer,0.52,0,0,0.04,0.55,Exclusive
7148,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,Nintendo 64,Nintendo,5th,N,1997,Misc,Namco Bandai Games,0,0,0.22,0,0.22,Exclusive
9880,7 Days to Die,PS4,PlayStation 4,SONY,8th,N,2016,Action,Telltale Games,0.03,0.07,0,0.02,0.12,Non-Exclusive
13652,7 Days to Die,XOne,Xbox One,Microsoft,8th,N,2016,Action,Telltale Games,0.02,0.02,0,0,0.04,Non-Exclusive
5657,7 Wonders II,DS,Nintendo DS,Nintendo,7th,Y,2009,Puzzle,Rondomedia,0.14,0.15,0,0.03,0.32,Exclusive
11561,7 Wonders of the Ancient World,PSP,PlayStation Portable,SONY,7th,Y,2007,Puzzle,Mumbo Jumbo,0.07,0,0,0.01,0.08,Non-Exclusive
9544,7 Wonders of the Ancient World,DS,Nintendo DS,Nintendo,7th,Y,2007,Puzzle,Funsta,0.1,0.01,0,0.01,0.13,Non-Exclusive
12857,7 Wonders: Treasures of Seven,DS,Nintendo DS,Nintendo,7th,Y,2011,Puzzle,Avanquest,0.02,0.03,0,0.01,0.05,Exclusive
9278,7th Dragon,DS,Nintendo DS,Nintendo,7th,Y,2009,Role-Playing,Sega,0,0,0.14,0,0.14,Exclusive
7583,7th Dragon 2020,PSP,PlayStation Portable,SONY,7th,Y,2011,Role-Playing,Sega,0,0,0.2,0,0.2,Exclusive
9619,7th Dragon 2020-II,PSP,PlayStation Portable,SONY,7th,Y,2013,Role-Playing,Sega,0,0,0.13,0,0.13,Exclusive
8678,7th Dragon III Code: VFD,3DS,Nintendo 3DS,Nintendo,8th,Y,2015,Role-Playing,Sega,0.03,0,0.12,0,0.16,Exclusive
4756,'98 Koshien,PS,PlayStation,SONY,5th,N,1998,Sports,Magical Company,0.15,0.1,0.12,0.03,0.41,Exclusive
13815,99 no Namida,DS,Nintendo DS,Nintendo,7th,Y,2008,Adventure,Namco Bandai Games,0,0,0.04,0,0.04,Exclusive
4543,"999: Nine Hours, Nine Persons, Nine Doors",DS,Nintendo DS,Nintendo,7th,Y,2009,Adventure,ChunSoft,0.37,0,0.03,0.03,0.43,Exclusive
7181,A Boy and His Blob,Wii,Nintendo Wii,Nintendo,7th,N,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02,0.22,Exclusive
530,A Bug's Life,PS,PlayStation,SONY,5th,N,1998,Platform,Sony Computer Entertainment,1.96,0.72,0,0.11,2.79,Non-Exclusive
3205,A Bug's Life,N64,Nintendo 64,Nintendo,5th,N,1998,Platform,Activision,0.49,0.13,0,0.01,0.63,Non-Exclusive
1417,A Collection of Activision Classic Games for the Atari 2600,PS,PlayStation,SONY,5th,N,1998,Misc,Activision,0.76,0.52,0,0.09,1.37,Exclusive
5810,A Collection of Classic Games from the Intellivision,PS,PlayStation,SONY,5th,N,1999,Misc,Activision,0.17,0.12,0,0.02,0.31,Exclusive
14353,A Good Librarian Like a Good Shepherd: Library Party,PSV,PlayStation Vita,SONY,8th,Y,2015,Action,Kaga Create,0,0,0.03,0,0.03,Exclusive
12387,A llI S.V.: A Ressha de Gyoukou 3 Super Version,SNES,Super Nintendo,Nintendo,4th,N,1995,Simulation,Pack-In-Video,0,0,0.06,0,0.06,Exclusive
14869,A Ressha de Gyoukou 2001,PS2,PlayStation 2,SONY,6th,N,2001,Simulation,ArtDink,0,0,0.03,0,0.03,Exclusive
13864,A Ressha de Ikou DS,DS,Nintendo DS,Nintendo,7th,Y,2009,Simulation,ArtDink,0,0,0.04,0,0.04,Exclusive
10002,A Witch's Tale,DS,Nintendo DS,Nintendo,7th,Y,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11,Exclusive
6643,A. IV Evolution: A Ressha de Ikou 4,PS,PlayStation,SONY,5th,N,1994,Strategy,ArtDink,0,0,0.24,0.02,0.25,Exclusive
6560,A.C.E.: Another Century's Episode,PS2,PlayStation 2,SONY,6th,N,2005,Simulation,Banpresto,0,0,0.26,0,0.26,Exclusive
8105,A.C.E.: Another Century's Episode 2,PS2,PlayStation 2,SONY,6th,N,2006,Simulation,Banpresto,0,0,0.18,0,0.18,Exclusive
6588,A.C.E.: Another Century's Episode 3: The Final,PS2,PlayStation 2,SONY,6th,N,2007,Simulation,Banpresto,0,0,0.26,0,0.26,Exclusive
9905,A.C.E.: Another Century's Episode Portable,PSP,PlayStation Portable,SONY,7th,Y,2011,Simulation,Namco Bandai Games,0,0,0.12,0,0.12,Exclusive
6454,A.C.E.: Another Century's Episode R,PS3,PlayStation 3,SONY,7th,N,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26,Exclusive
9137,¡Shin Chan Flipa en colores!,DS,Nintendo DS,Nintendo,7th,Y,2007,Platform,505 Games,0,0,0.14,0,0.14,Exclusive
16216,Aa Megami-samaa,PS2,PlayStation 2,SONY,6th,N,2007,Adventure,Marvelous Interactive,0,0,0.01,0,0.01,Exclusive
2569,ABBA: You Can Dance,Wii,Nintendo Wii,Nintendo,7th,N,2011,Misc,Ubisoft,0.19,0.5,0,0.11,0.8,Exclusive
16052,Abunai: Koi no Sousa Shitsu,PSP,PlayStation Portable,SONY,7th,Y,2012,Action,Quinrose,0,0,0.01,0,0.01,Exclusive
8705,AC/DC LIVE: Rock Band Track Pack,PS2,PlayStation 2,SONY,6th,N,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16,Non-Exclusive
6239,AC/DC LIVE: Rock Band Track Pack,Wii,Nintendo Wii,Nintendo,7th,N,2008,Misc,MTV Games,0.25,0,0,0.02,0.28,Non-Exclusive
7121,AC/DC LIVE: Rock Band Track Pack,X360,Xbox 360,Microsoft,7th,N,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,Non-Exclusive
9465,Academy of Champions: Soccer,Wii,Nintendo Wii,Nintendo,7th,N,2009,Sports,Ubisoft,0.1,0.02,0,0.01,0.13,Exclusive
14300,Accel World: Ginyoku no Kakusei,PS3,PlayStation 3,SONY,7th,N,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,Exclusive
15950,Accel World: Kasoku no Chouten,PS3,PlayStation 3,SONY,7th,N,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02,Exclusive
6392,Ace Attorney 6,3DS,Nintendo 3DS,Nintendo,8th,Y,2016,Adventure,Capcom,0,0,0.27,0,0.27,Exclusive
6502,Ace Attorney Investigations 2,DS,Nintendo DS,Nintendo,7th,Y,2011,Adventure,Capcom,0,0,0.26,0,0.26,Exclusive
2716,Ace Attorney Investigations: Miles Edgeworth,DS,Nintendo DS,Nintendo,7th,Y,2009,Adventure,Capcom,0.27,0.15,0.3,0.04,0.76,Exclusive
434,Ace Combat 04: Shattered Skies,PS2,PlayStation 2,SONY,6th,N,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,Exclusive
2341,Ace Combat 2,PS,PlayStation,SONY,5th,N,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,Exclusive
2483,Ace Combat 3: Electrosphere,PS,PlayStation,SONY,5th,N,1999,Simulation,Sony Computer Entertainment,0.22,0.15,0.4,0.05,0.83,Exclusive
1046,Ace Combat 5: The Unsung War,PS2,PlayStation 2,SONY,6th,N,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,Exclusive
2038,Ace Combat 6: Fires of Liberation,X360,Xbox 360,Microsoft,7th,N,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.02,Exclusive
2090,Ace Combat X: Skies of Deception,PSP,PlayStation Portable,SONY,7th,Y,2006,Simulation,Namco Bandai Games,0.37,0.31,0.12,0.19,0.99,Exclusive
3920,Ace Combat Zero: The Belkan War,PS2,PlayStation 2,SONY,6th,N,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,Exclusive
2764,Ace Combat: Assault Horizon,PS3,PlayStation 3,SONY,7th,N,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74,Non-Exclusive
4021,Ace Combat: Assault Horizon,X360,Xbox 360,Microsoft,7th,N,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,Non-Exclusive
6802,Ace Combat: Assault Horizon Legacy,3DS,Nintendo 3DS,Nintendo,8th,Y,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,Exclusive
6014,Ace Combat: Joint Assault,PSP,PlayStation Portable,SONY,7th,Y,2010,Simulation,Namco Bandai Games,0.06,0.05,0.15,0.03,0.29,Exclusive
1784,Action Bass,PS,PlayStation,SONY,5th,N,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14,Exclusive
11078,Action Man-Operation Extreme,PS,PlayStation,SONY,5th,N,2003,Action,,0.05,0.03,0,0.01,0.09,Exclusive
7903,Active Health with Carol Vorderman,DS,Nintendo DS,Nintendo,7th,Y,2009,Sports,Nintendo,0,0.18,0,0.01,0.19,Exclusive
8798,Active Life Explorer,Wii,Nintendo Wii,Nintendo,7th,N,2010,Sports,Namco Bandai Games,0.14,0,0,0.01,0.15,Exclusive
4091,Active Life: Extreme Challenge,Wii,Nintendo Wii,Nintendo,7th,N,2009,Sports,Namco Bandai Games,0.15,0.27,0,0.06,0.48,Exclusive
13165,Active Life: Magical Carnival,Wii,Nintendo Wii,Nintendo,7th,N,2011,Misc,Namco Bandai Games,0.04,0.01,0,0,0.05,Exclusive
1200,Active Life: Outdoor Challenge,Wii,Nintendo Wii,Nintendo,7th,N,2008,Sports,Atari,0.79,0.44,0.19,0.14,1.55,Exclusive
3969,Activision Anthology,PS2,PlayStation 2,SONY,6th,N,2002,Misc,Activision,0.25,0.19,0,0.06,0.5,Non-Exclusive
13440,Activision Anthology,GBA,Game Boy Advance,Nintendo,6th,Y,2003,Misc,Activision,0.03,0.01,0,0,0.05,Non-Exclusive
12819,Activision Hits: Remixed,PSP,PlayStation Portable,SONY,7th,Y,2006,Misc,Activision,0.05,0,0,0,0.06,Exclusive
9658,Actua Tennis,PS,PlayStation,SONY,5th,N,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0,0.01,0.13,Exclusive
13911,Adidas Power Soccer,PS,PlayStation,SONY,5th,N,1996,Sports,Psygnosis,0.02,0.01,0,0,0.04,Exclusive
15476,Adidas Power Soccer 98,PS,PlayStation,SONY,5th,N,1998,Sports,Psygnosis,0.01,0.01,0,0,0.02,Exclusive
9023,Adrenalin Misfits,X360,Xbox 360,Microsoft,7th,N,2010,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01,0.14,Exclusive
13549,Advance Guardian Heroes,GBA,Game Boy Advance,Nintendo,6th,Y,2004,Role-Playing,Ubisoft,0.03,0.01,0,0,0.04,Exclusive
2925,Advance Wars,GBA,Game Boy Advance,Nintendo,6th,Y,2001,Strategy,Nintendo,0.5,0.19,0,0.01,0.7,Exclusive
3115,Advance Wars 2: Black Hole Rising,GBA,Game Boy Advance,Nintendo,6th,Y,2003,Strategy,Nintendo,0.47,0.17,0,0.01,0.65,Exclusive
3219,Advance Wars: Days of Ruin,DS,Nintendo DS,Nintendo,7th,Y,2008,Strategy,Nintendo,0.44,0.13,0,0.06,0.63,Exclusive
4806,Advance Wars: Dual Strike,DS,Nintendo DS,Nintendo,7th,Y,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4,Exclusive
9586,Advent Rising,XB,Xbox,Microsoft,6th,N,2005,Action,THQ,0.1,0.03,0,0,0.13,Exclusive
1973,Adventure Island,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Platform,Hudson Soft,0,0,1.05,0,1.05,Exclusive
13211,Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,PlayStation 3,SONY,7th,N,2013,Action,D3Publisher,0.02,0.02,0,0.01,0.05,Non-Exclusive
11425,Adventure Time: Explore the Dungeon Because I Don't Know!,X360,Xbox 360,Microsoft,7th,N,2013,Action,D3Publisher,0.03,0.04,0,0.01,0.08,Non-Exclusive
14105,Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,Nintendo WiiU,Nintendo,8th,N,2013,Action,D3Publisher,0.02,0.01,0,0,0.03,Non-Exclusive
10435,Adventure Time: Finn & Jake Investigations,PS3,PlayStation 3,SONY,7th,N,2015,Action,Little Orbit,0.02,0.07,0,0.02,0.1,Non-Exclusive
10884,Adventure Time: Finn & Jake Investigations,X360,Xbox 360,Microsoft,7th,N,2015,Action,Little Orbit,0.02,0.06,0,0.01,0.09,Non-Exclusive
12885,Adventure Time: Finn & Jake Investigations,WiiU,Nintendo WiiU,Nintendo,8th,N,2015,Action,Little Orbit,0.03,0.02,0,0,0.05,Non-Exclusive
16204,Adventure Time: The Secret of the Nameless,X360,Xbox 360,Microsoft,7th,N,2014,Adventure,Little Orbit,0.01,0,0,0,0.01,Non-Exclusive
15911,Adventure Time: The Secret of the Nameless,3DS,Nintendo 3DS,Nintendo,8th,Y,2014,Adventure,Little Orbit,0.01,0,0,0,0.02,Non-Exclusive
11205,Adventure Time: The Secret of the Nameless Kingdom,X360,Xbox 360,Microsoft,7th,N,2014,Action,Little Orbit,0,0.08,0,0.01,0.09,Non-Exclusive
11432,Adventure Time: The Secret of the Nameless Kingdom,3DS,Nintendo 3DS,Nintendo,8th,Y,2014,Action,Little Orbit,0,0.07,0,0,0.08,Non-Exclusive
12638,Adventures of Lolo,NES,Nintendo Entertainment System,Nintendo,3rd,N,1989,Puzzle,HAL Laboratory,0.06,0,0,0,0.06,Exclusive
9653,Adventures to Go!,PSP,PlayStation Portable,SONY,7th,Y,2008,Role-Playing,Zushi Games,0.1,0,0.01,0.01,0.13,Exclusive
