rank,name,platform,platform_full,Console_manufacturer,Generation,Handheld,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales
2518,Custer's Revenge,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Mystique,0.76,0.05,0,0.01,0.82
2598,Alien,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,20th Century Fox Video Games,0.74,0.04,0,0.01,0.79
2666,Air Raid,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Men-A-Vision,0.72,0.04,0,0.01,0.77
2808,Berzerk,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Atari,0.68,0.04,0,0.01,0.73
2942,King Kong,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Tigervision,0.65,0.04,0,0.01,0.69
3046,Adventures of Tron,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Mattel Interactive,0.63,0.03,0,0.01,0.67
3405,BurgerTime,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Puzzle,Mattel Interactive,0.55,0.03,0,0.01,0.59
3410,Smurf: Rescue In Gargamel's Castle,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Coleco,0.55,0.03,0,0.01,0.59
4017,Raiders of the Lost Ark,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Atari,0.46,0.03,0,0.01,0.5
4141,Grand Prix,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Racing,Activision,0.45,0.03,0,0,0.48
4348,Phoenix,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Simulation,Atari,0.42,0.02,0,0,0.45
4404,Jawbreaker,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Tigervision,0.42,0.03,0,0,0.45
4519,Barnstorming,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Activision,0.4,0.02,0,0,0.43
4786,Mouse Trap,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Coleco,0.38,0.02,0,0,0.4
4910,Laser Blast,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Activision,0.37,0.02,0,0,0.39
4969,Airlock,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Data Age,0.36,0.02,0,0,0.39
5129,Dragonfire,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Imagic,0.35,0.02,0,0,0.37
5248,Frogs And Flies,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Mattel Interactive,0.33,0.02,0,0,0.36
5391,Fantastic Voyage,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5402,Carnival,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Coleco,0.32,0.02,0,0,0.34
5566,Fireball,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Starpath Corp.,0.3,0.02,0,0,0.33
5802,Astroblast,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Mattel Interactive,0.29,0.02,0,0,0.31
6023,Fast Food,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Unknown,0.27,0.02,0,0,0.29
6539,RealSports Football,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Sports,Atari,0.24,0.01,0,0,0.26
6868,Front Line,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Taito,0.22,0.01,0,0,0.24
6942,Dark Cavern,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24
7150,Deadly Duck,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Shooter,20th Century Fox Video Games,0.21,0.01,0,0,0.22
7152,Reactor,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Parker Bros.,0.21,0.01,0,0,0.22
7186,Crazy Climber,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Atari,0.21,0.01,0,0,0.22
7373,RealSports Baseball,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Sports,Atari,0.2,0.01,0,0,0.21
7906,International Soccer,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19
8461,Armor Ambush,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Action,Mattel Interactive,0.15,0.01,0,0,0.17
9497,RealSports Volleyball,2600,Atari 2600,Hasbro Interactive,2nd,N,1981,Sports,Atari,0.12,0.01,0,0,0.13
90,Pac-Man,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
1117,Dig Dug,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Puzzle,Atari,1.52,0.1,0,0.02,1.64
1165,Mario Bros.,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Platform,Atari,1.48,0.09,0,0.02,1.59
1707,Pole Position,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Racing,Atari,1.1,0.07,0,0.01,1.18
1819,Moon Patrol,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12
1853,Jungle Hunt,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Platform,Atari,1.03,0.06,0,0.01,1.1
1907,Joust,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Platform,Atari,1.01,0.06,0,0.01,1.08
2408,Enduro,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Misc,Quelle,0.81,0.05,0,0.01,0.87
2631,Yars' Revenge,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Shooter,Atari,0.73,0.04,0,0.01,0.78
2662,Galaxian,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Shooter,Atari,0.72,0.05,0,0.01,0.77
2845,Kangaroo,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Platform,Atari,0.67,0.04,0,0.01,0.72
3081,Keystone Kapers,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Activision,0.62,0.04,0,0.01,0.66
3217,X-Man,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Universal Gamex,0.58,0.04,0,0.01,0.63
3250,Battlezone,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Shooter,Atari,0.58,0.03,0,0.01,0.62
3268,Halloween,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Wizard Video Games,0.58,0.03,0,0.01,0.62
3449,Q*bert,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Puzzle,Parker Bros.,0.55,0.03,0,0.01,0.58
3645,The Activision Decathlon,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Sports,Activision,0.52,0.03,0,0.01,0.55
3718,Action Force,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,CPG Products,0.5,0.03,0,0.01,0.54
3750,Popeye,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Platform,Parker Bros.,0.5,0.03,0,0.01,0.54
3968,Chopper Command,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Shooter,Activision,0.47,0.03,0,0.01,0.5
4015,RealSports Tennis,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Sports,Atari,0.46,0.03,0,0.01,0.5
4018,Gauntlet,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Answer Software,0.46,0.03,0,0.01,0.5
4803,Congo Bongo,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Sega,0.37,0.02,0,0,0.4
4896,Bump 'n' Jump,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Racing,Mattel Interactive,0.37,0.02,0,0,0.39
5066,Gravitar,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Atari,0.35,0.02,0,0,0.38
5383,Alien's Return,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,ITT Family Games,0.32,0.02,0,0,0.34
5397,Bank Heist,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,20th Century Fox Video Games,0.32,0.02,0,0,0.34
5660,Frankenstein's Monster,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Data Age,0.3,0.02,0,0,0.32
5775,Mountain King,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,CBS Electronics,0.29,0.02,0,0,0.31
6147,Polaris,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Tigervision,0.26,0.02,0,0,0.28
6267,Mr. Do!,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Coleco,0.26,0.02,0,0,0.27
6730,Porky's,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,20th Century Fox Video Games,0.23,0.01,0,0,0.25
7151,Assault,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Bomb,0.21,0.01,0,0,0.22
8460,Death Trap,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Avalon Interactive,0.15,0.01,0,0,0.17
8760,Pressure Cooker,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Activision,0.14,0.01,0,0,0.15
9108,Krull,2600,Atari 2600,Hasbro Interactive,2nd,N,1982,Action,Atari,0.13,0.01,0,0,0.14
1510,Pitfall II: Lost Caverns,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Platform,Activision,1.22,0.07,0,0.02,1.31
2654,Jr. Pac-Man,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Puzzle,Atari,0.72,0.05,0,0.01,0.78
2674,Crystal Castles,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Action,Atari,0.72,0.04,0,0.01,0.77
3955,Midnight Magic,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Action,Atari,0.47,0.03,0,0.01,0.5
4098,Millipede,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Shooter,Atari,0.45,0.03,0,0.01,0.48
4269,Gremlins,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Action,Atari,0.43,0.03,0,0,0.46
4782,Pengo,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Adventure,Atari,0.38,0.02,0,0,0.4
5384,Frostbite,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Action,Activision,0.32,0.02,0,0,0.34
5561,Frogger II: Threeedeep!,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Action,Parker Bros.,0.31,0.02,0,0,0.33
6009,Dolphin,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Action,Activision,0.27,0.02,0,0,0.29
8459,Mr. Do!'s Castle,2600,Atari 2600,Hasbro Interactive,2nd,N,1983,Action,Parker Bros.,0.15,0.01,0,0,0.17
6298,Beamrider,2600,Atari 2600,Hasbro Interactive,2nd,N,1984,Racing,Activision,0.26,0.01,0,0,0.27
4339,Ghostbusters,2600,Atari 2600,Hasbro Interactive,2nd,N,1985,Puzzle,Activision,0.42,0.03,0,0,0.45
5084,Solaris,2600,Atari 2600,Hasbro Interactive,2nd,N,1986,Shooter,Atari,0.35,0.02,0,0,0.37
5958,RealSports Boxing,2600,Atari 2600,Hasbro Interactive,2nd,N,1986,Sports,Atari,0.28,0.02,0,0,0.29
3120,Kung-Fu Master,2600,Atari 2600,Hasbro Interactive,2nd,N,1987,Action,Activision,0.6,0.04,0,0.01,0.65
4196,Commando,2600,Atari 2600,Hasbro Interactive,2nd,N,1987,Action,Activision,0.44,0.02,0,0,0.47
4395,Defender II,2600,Atari 2600,Hasbro Interactive,2nd,N,1987,Shooter,Atari,0.42,0.02,0,0,0.45
6585,Desert Falcon,2600,Atari 2600,Hasbro Interactive,2nd,N,1987,Shooter,Atari,0.24,0.01,0,0,0.26
11718,Super Football,2600,Atari 2600,Hasbro Interactive,2nd,N,1987,Sports,Atari,0.07,0,0,0,0.08
11751,Super Baseball,2600,Atari 2600,Hasbro Interactive,2nd,N,1987,Sports,Atari,0.07,0,0,0,0.07
3942,River Raid II,2600,Atari 2600,Hasbro Interactive,2nd,N,1988,Shooter,Activision,0.47,0.03,0,0.01,0.51
6941,Rampage,2600,Atari 2600,Hasbro Interactive,2nd,N,1988,Action,Activision,0.22,0.01,0,0,0.24
4149,Double Dragon,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Action,Activision,0.45,0.02,0,0.01,0.47
8759,Klax,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Puzzle,Atari,0.14,0.01,0,0,0.15
608,Space Invaders,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Shooter,Atari,2.36,0.14,0,0.03,2.53
1515,Adventure,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Adventure,Atari,1.21,0.08,0,0.01,1.3
1587,Combat,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Action,Atari,1.17,0.07,0,0.01,1.25
2115,Air-Sea Battle,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Shooter,Atari,0.91,0.06,0,0.01,0.98
3882,Fishing Derby,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Sports,Activision,0.48,0.03,0,0.01,0.51
4153,Karate,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Fighting,Ultravision,0.44,0.03,0,0,0.47
4234,Circus Atari,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Action,Atari,0.43,0.03,0,0,0.46
4380,Maze Craze: A Game of Cops 'n Robbers,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Action,Atari,0.42,0.02,0,0,0.45
4471,Super Breakout,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Puzzle,Atari,0.41,0.03,0,0,0.44
5063,Hangman,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Puzzle,Atari,0.35,0.02,0,0,0.38
5659,Dragster,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Racing,Activision,0.3,0.02,0,0,0.32
5800,Slot Machine,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Action,Atari,0.29,0.02,0,0,0.31
6285,Indy 500,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Racing,Atari,0.26,0.01,0,0,0.27
6318,Flag Capture,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Action,Atari,0.25,0.02,0,0,0.27
7371,Ghostbusters II,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Action,Activision,0.2,0.01,0,0,0.21
7372,Breakaway IV,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Puzzle,Sears,0.2,0.01,0,0,0.21
8762,Home Run,2600,Atari 2600,Hasbro Interactive,2nd,N,1989,Sports,Atari,0.14,0.01,0,0,0.15
422,Baseball,NES,Nintendo Entertainment System,Nintendo,3rd,N,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
702,Mario Bros.,NES,Nintendo Entertainment System,Nintendo,3rd,N,1983,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
765,Mahjong,NES,Nintendo Entertainment System,Nintendo,3rd,N,1983,Misc,Nintendo,0.01,0,2.13,0,2.14
1811,Donkey Kong,NES,Nintendo Entertainment System,Nintendo,3rd,N,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
1841,Donkey Kong Jr.,NES,Nintendo Entertainment System,Nintendo,3rd,N,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
1863,Popeye,NES,Nintendo Entertainment System,Nintendo,3rd,N,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
10,Duck Hunt,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
278,Excitebike,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
299,Golf,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
756,Tennis,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
940,Pinball,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
1235,F1 Race,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Racing,Nintendo,0,0,1.52,0,1.52
1236,Xevious,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
1326,4 Nin uchi Mahjong,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Misc,Nintendo,0,0,1.45,0,1.45
1562,Hogan's Alley,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
1640,Pac-Man,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
1859,Lode Runner,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Puzzle,Hudson Soft,0,0,1.1,0,1.1
2515,Clu Clu Land,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82
2957,Mappy,NES,Nintendo Entertainment System,Nintendo,3rd,N,1984,Platform,Namco Bandai Games,0,0,0.69,0,0.69
2,Super Mario Bros.,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
375,Kung Fu,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
870,Soccer,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
1262,Ice Climber,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5
1492,Gyromite,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
1975,Tag Team Match M.U.S.C.L.E.,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Fighting,Namco Bandai Games,0,0,1.05,0,1.05
2022,Bomberman,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Puzzle,Hudson Soft,0.18,0,0.85,0,1.03
2061,1942,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Shooter,Capcom,0.65,0.14,0.21,0,1
2261,Balloon Fight,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
3909,Wrecking Crew,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Platform,Nintendo,0,0,0.51,0,0.51
4729,Dig Dug,NES,Nintendo Entertainment System,Nintendo,3rd,N,1985,Puzzle,Namco Bandai Games,0,0,0.41,0,0.41
128,The Legend of Zelda,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
453,World Class Track Meet,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
549,Metroid,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
574,Super Mario Bros.: The Lost Levels,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Platform,Nintendo,0,0,2.65,0,2.65
612,Dragon Warrior,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Role-Playing,Capcom,0.49,0,0.52,1.51,2.52
739,Pro Yakyuu Family Stadium,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Sports,Namco Bandai Games,0.15,0,2.05,0,2.2
869,Rad Racer,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
994,Kid Icarus,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76
1119,Ghosts 'n Goblins,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
1264,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Platform,Hudson Soft,0,0,1.5,0,1.5
1429,Gradius,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1,0.01,1.36
1625,Castlevania,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
1677,TwinBee,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Shooter,Konami Digital Entertainment,0,0,1.2,0,1.2
1678,Ganbare Goemon! Karakuri Douchuu,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Platform,Konami Digital Entertainment,0,0,1.2,0,1.2
1774,Doraemon,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Action,Hudson Soft,0,0,1.15,0,1.15
1793,Commando,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14
1973,Adventure Island,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Platform,Hudson Soft,0,0,1.05,0,1.05
2160,Star Soldier,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
3534,The Mysterious Murasame Castle,NES,Nintendo Entertainment System,Nintendo,3rd,N,1986,Action,Nintendo,0,0,0.57,0,0.57
252,Zelda II: The Adventure of Link,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
466,Mike Tyson's Punch-Out!!,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
603,Dragon Warrior II,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Role-Playing,Enix Corporation,0.15,0,2.41,0,2.56
648,Pro Wrestling,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
761,Volleyball,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Sports,Nintendo,0.14,0.03,1.98,0,2.15
1363,Pro Yakyuu Family Stadium '87,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Sports,Namco Bandai Games,0.12,0,1.3,0,1.42
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
2236,Castlevania II: Simon's Quest,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0,0.93
2468,Final Fantasy,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Role-Playing,SquareSoft,0.32,0,0.52,0,0.84
2549,Mega Man,NES,Nintendo Entertainment System,Nintendo,3rd,N,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
23,Super Mario Bros. 3,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
97,Super Mario Bros. 2,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
156,Tetris,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
313,Dragon Warrior III,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87
639,Ice Hockey,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42
766,R.C. Pro-Am,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14
1189,Donkey Kong Classics,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56
1248,Mega Man 2,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51
1589,Dragon Ball: Daimaou Fukkatsu,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
1710,Pro Yakyuu Family Stadium '88,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Sports,Namco Bandai Games,0.1,0,1.08,0,1.18
2706,Final Fantasy II,NES,Nintendo Entertainment System,Nintendo,3rd,N,1988,Role-Playing,SquareSoft,0,0,0.76,0,0.76
277,Teenage Mutant Ninja Turtles,NES,Nintendo Entertainment System,Nintendo,3rd,N,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
